Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2024-01-28 00:00:00",Conventional,1.028430762,126846.79,25130.32,64452.62,2.83,37261.02,,,
Albany,Weekly,"2024-01-21 00:00:00",Conventional,1.066077275,145160.65,35953.62,83367.08,0.00,25839.95,,,
Albany,Weekly,"2024-01-14 00:00:00",Conventional,1.035532403,112259.11,25437.12,62705.82,1.05,24115.12,,,
Albany,Weekly,"2024-01-08 00:00:00",Conventional,1.062677182,148437.61,31343.36,85157.97,9.40,31926.88,,,
Atlanta,Weekly,"2024-01-28 00:00:00",Conventional,0.993048254,800906.58,594492.04,54076.14,68.10,152270.30,,,
Atlanta,Weekly,"2024-01-21 00:00:00",Conventional,0.996580709,788659.05,552063.18,66906.21,81.66,169608.00,,,
Atlanta,Weekly,"2024-01-14 00:00:00",Conventional,1.045211526,762575.65,530783.23,63411.33,29.02,168352.06,,,
Atlanta,Weekly,"2024-01-08 00:00:00",Conventional,0.996230747,735139.43,473201.80,111579.35,56.11,150302.18,,,
Baltimore/Washington,Weekly,"2024-01-28 00:00:00",Conventional,1.228134811,936019.77,359576.80,178722.65,1595.04,396125.29,,,
Baltimore/Washington,Weekly,"2024-01-21 00:00:00",Conventional,1.208407906,1026444.09,440380.93,209361.19,1759.65,374942.32,,,
Baltimore/Washington,Weekly,"2024-01-14 00:00:00",Conventional,1.287821289,928714.29,364391.82,185894.28,1570.13,376858.05,,,
Baltimore/Washington,Weekly,"2024-01-08 00:00:00",Conventional,1.239627594,962203.37,375150.82,189774.27,1845.82,395432.45,,,
Birmingham/Montgomery,Weekly,"2024-01-28 00:00:00",Conventional,0.949503284,352451.49,273497.54,6497.67,9.91,72446.37,,,
Birmingham/Montgomery,Weekly,"2024-01-21 00:00:00",Conventional,0.934480212,341880.68,259701.28,9880.24,6.98,72292.18,,,
Birmingham/Montgomery,Weekly,"2024-01-14 00:00:00",Conventional,0.957152801,350803.17,266924.24,8265.14,8.00,75605.79,,,
Birmingham/Montgomery,Weekly,"2024-01-08 00:00:00",Conventional,0.931174793,341461.05,260518.07,10808.94,22.17,70111.87,,,
Boise,Weekly,"2024-01-28 00:00:00",Conventional,1.186021235,117574.05,51833.81,40469.23,84.71,25186.29,,,
Boise,Weekly,"2024-01-21 00:00:00",Conventional,1.137426573,119677.55,55197.67,40162.72,181.31,24135.86,,,
Boise,Weekly,"2024-01-14 00:00:00",Conventional,1.180100636,124625.68,49273.27,47685.11,339.45,27327.85,,,
Boise,Weekly,"2024-01-08 00:00:00",Conventional,1.248481730,116298.66,49328.67,40928.78,850.53,25190.68,,,
Boston,Weekly,"2024-01-28 00:00:00",Conventional,1.211220346,762916.79,167753.82,411923.86,32.80,183206.31,,,
Boston,Weekly,"2024-01-21 00:00:00",Conventional,1.245048229,690730.06,192351.59,323529.57,63.01,174785.89,,,
Boston,Weekly,"2024-01-14 00:00:00",Conventional,1.301039752,615606.28,146947.11,298026.44,114.48,170518.25,,,
Boston,Weekly,"2024-01-08 00:00:00",Conventional,1.366944340,678063.37,135352.93,345029.63,48.32,197632.50,,,
Buffalo/Rochester,Weekly,"2024-01-28 00:00:00",Conventional,1.038524557,198334.09,34654.17,53955.01,1418.51,108306.40,,,
Buffalo/Rochester,Weekly,"2024-01-21 00:00:00",Conventional,1.026083900,187069.47,28753.54,54720.88,1234.63,102360.43,,,
Buffalo/Rochester,Weekly,"2024-01-14 00:00:00",Conventional,1.034629923,223187.56,42108.76,58417.66,1540.96,121120.18,,,
Buffalo/Rochester,Weekly,"2024-01-08 00:00:00",Conventional,1.023273870,206801.03,35080.03,58116.09,1396.20,112208.72,,,
California,Weekly,"2024-01-28 00:00:00",Conventional,1.130189424,6252801.62,3897655.18,523785.15,538036.58,1293324.72,,,
California,Weekly,"2024-01-21 00:00:00",Conventional,1.222769578,5733770.40,3475511.93,536211.73,398475.84,1323570.91,,,
California,Weekly,"2024-01-14 00:00:00",Conventional,1.177040300,6122591.51,3840463.17,616242.02,400696.17,1265190.15,,,
California,Weekly,"2024-01-08 00:00:00",Conventional,1.127643748,6069606.64,3852689.86,510373.35,367785.66,1338757.77,,,
Charlotte,Weekly,"2024-01-28 00:00:00",Conventional,1.160668413,378544.61,182003.32,63558.81,1173.98,131808.50,,,
Charlotte,Weekly,"2024-01-21 00:00:00",Conventional,1.168171136,391664.10,184588.12,74932.30,769.12,131374.56,,,
Charlotte,Weekly,"2024-01-14 00:00:00",Conventional,1.165117729,402587.25,195518.90,62423.42,680.47,143964.47,,,
Charlotte,Weekly,"2024-01-08 00:00:00",Conventional,1.172582729,373713.26,170075.69,62673.41,811.90,140152.26,,,
Chicago,Weekly,"2024-01-28 00:00:00",Conventional,0.946903572,1155725.26,259286.40,213517.45,57737.13,625184.28,,,
Chicago,Weekly,"2024-01-21 00:00:00",Conventional,1.294184474,740199.31,206187.46,261912.78,68685.41,203413.66,,,
Chicago,Weekly,"2024-01-14 00:00:00",Conventional,1.268897740,830722.27,255325.06,285953.03,93586.36,195857.82,,,
Chicago,Weekly,"2024-01-08 00:00:00",Conventional,1.236938650,773340.54,288460.75,243807.20,53587.75,187484.84,,,
Cincinnati/Dayton,Weekly,"2024-01-28 00:00:00",Conventional,0.977704288,317517.28,223600.24,44437.24,288.57,49191.24,,,
Cincinnati/Dayton,Weekly,"2024-01-21 00:00:00",Conventional,1.035943170,307384.47,188438.71,67833.92,622.80,50489.04,,,
Cincinnati/Dayton,Weekly,"2024-01-14 00:00:00",Conventional,1.003270543,330550.71,210464.20,74902.94,740.98,44442.58,,,
Cincinnati/Dayton,Weekly,"2024-01-08 00:00:00",Conventional,0.930645353,322113.48,207534.37,64716.28,410.17,49452.66,,,
Columbus,Weekly,"2024-01-28 00:00:00",Conventional,0.918092779,267444.09,187481.83,29773.96,390.91,49797.39,,,
Columbus,Weekly,"2024-01-21 00:00:00",Conventional,0.988513040,260575.78,169286.05,40459.39,730.28,50100.06,,,
Columbus,Weekly,"2024-01-14 00:00:00",Conventional,0.972775650,271760.00,171644.67,52468.48,777.42,46869.43,,,
Columbus,Weekly,"2024-01-08 00:00:00",Conventional,0.878628576,273640.27,189514.67,28360.52,519.22,55245.87,,,
"Dallas/Ft. Worth",Weekly,"2024-01-28 00:00:00",Conventional,0.808830972,1466503.52,621802.44,281867.06,1334.26,561499.75,,,
